Country or territory of asylum or residence,ISO_A3_residence,Country or territory of origin,ISO_A3_origin,Refugees_assisted,Total_refugees
Algeria,DZA,Sudan,SDN,2.0,2.0
Angola,AGO,Sudan,SDN,,313.0
Argentina,ARG,Sudan,SDN,,3.0
Armenia,ARM,Sudan,SDN,1.0,1.0
Australia,AUS,South Sudan,SSD,,6.0
Australia,AUS,Sudan,SDN,,85.0
Austria,AUT,South Sudan,SSD,,4.0
Austria,AUT,Sudan,SDN,,288.0
Bahrain,BHR,Sudan,SDN,10.0,10.0
Bangladesh,BGD,Sudan,SDN,1.0,1.0
Belgium,BEL,South Sudan,SSD,,2.0
Belgium,BEL,Sudan,SDN,,174.0
Benin,BEN,Sudan,SDN,2.0,2.0
Botswana,BWA,South Sudan,SSD,2.0,2.0
Botswana,BWA,Sudan,SDN,11.0,11.0
Brazil,BRA,Sudan,SDN,17.0,65.0
Bulgaria,BGR,Sudan,SDN,19.0,19.0
Burkina Faso,BFA,Sudan,SDN,9.0,9.0
Burundi,BDI,South Sudan,SSD,1.0,1.0
Cambodia,KHM,Sudan,SDN,1.0,1.0
Cameroon,CMR,South Sudan,SSD,10.0,10.0
Cameroon,CMR,Sudan,SDN,68.0,68.0
Canada,CAN,South Sudan,SSD,,7.0
Canada,CAN,Sudan,SDN,,465.0
Central African Republic,CAF,South Sudan,SSD,4912.0,4912.0
Central African Republic,CAF,Sudan,SDN,2114.0,2114.0
Chad,TCD,South Sudan,SSD,2.0,2.0
Chad,TCD,Sudan,SDN,300483.0,312468.0
Colombia,COL,Sudan,SDN,,1.0
Congo,COG,Sudan,SDN,23.0,23.0
Costa Rica,CRI,Sudan,SDN,1.0,1.0
Côte d'Ivoire,CIV,South Sudan,SSD,1.0,1.0
Côte d'Ivoire,CIV,Sudan,SDN,8.0,8.0
Croatia,HRV,Sudan,SDN,4.0,4.0
Cyprus,CYP,Sudan,SDN,6.0,8.0
Czechia,CZE,Sudan,SDN,,17.0
Dem. Republic of the Congo,COD,South Sudan,SSD,66672.0,66672.0
Dem. Republic of the Congo,COD,Sudan,SDN,150.0,150.0
Denmark,DNK,Sudan,SDN,,73.0
Djibouti,DJI,Sudan,SDN,5.0,5.0
Egypt,EGY,South Sudan,SSD,2532.0,2532.0
Egypt,EGY,Sudan,SDN,13848.0,13848.0
Eritrea,ERI,South Sudan,SSD,8.0,8.0
Eritrea,ERI,Sudan,SDN,67.0,67.0
Estonia,EST,Sudan,SDN,,25.0
Ethiopia,ETH,South Sudan,SSD,338774.0,338774.0
Ethiopia,ETH,Sudan,SDN,39896.0,39896.0
Finland,FIN,South Sudan,SSD,,4.0
Finland,FIN,Sudan,SDN,,29.0
France,FRA,South Sudan,SSD,,8.0
France,FRA,Sudan,SDN,,7049.0
Gabon,GAB,Sudan,SDN,2.0,2.0
Gambia,GMB,Sudan,SDN,1.0,1.0
Georgia,GEO,Sudan,SDN,,1.0
Germany,DEU,South Sudan,SSD,,21.0
Germany,DEU,Sudan,SDN,,693.0
Ghana,GHA,South Sudan,SSD,4.0,4.0
Ghana,GHA,Sudan,SDN,288.0,288.0
Greece,GRC,South Sudan,SSD,,7.0
Greece,GRC,Sudan,SDN,,372.0
Hungary,HUN,Sudan,SDN,,69.0
Iceland,ISL,Sudan,SDN,,2.0
India,IND,South Sudan,SSD,2.0,2.0
India,IND,Sudan,SDN,78.0,78.0
Indonesia,IDN,Sudan,SDN,196.0,196.0
Iraq,IRQ,South Sudan,SSD,2.0,2.0
Iraq,IRQ,Sudan,SDN,62.0,62.0
Ireland,IRL,Sudan,SDN,1.0,183.0
Israel,ISR,South Sudan,SSD,50.0,127.0
Israel,ISR,Sudan,SDN,43.0,4647.0
Italy,ITA,South Sudan,SSD,,61.0
Italy,ITA,Sudan,SDN,,2003.0
Japan,JPN,Sudan,SDN,5.0,15.0
Jordan,JOR,South Sudan,SSD,11.0,11.0
Jordan,JOR,Sudan,SDN,2222.0,2222.0
Kenya,KEN,South Sudan,SSD,87141.0,87141.0
Kenya,KEN,Sudan,SDN,2863.0,2863.0
Latvia,LVA,Sudan,SDN,,1.0
Lebanon,LBN,South Sudan,SSD,50.0,50.0
Lebanon,LBN,Sudan,SDN,695.0,695.0
Liberia,LBR,South Sudan,SSD,2.0,2.0
Liberia,LBR,Sudan,SDN,5.0,5.0
Libya,LBY,Sudan,SDN,626.0,626.0
Luxembourg,LUX,Sudan,SDN,,2.0
Malawi,MWI,South Sudan,SSD,2.0,2.0
Malawi,MWI,Sudan,SDN,1.0,1.0
Malaysia,MYS,South Sudan,SSD,3.0,3.0
Malaysia,MYS,Sudan,SDN,56.0,56.0
Malta,MLT,South Sudan,SSD,,22.0
Malta,MLT,Sudan,SDN,,181.0
Mauritania,MRT,Sudan,SDN,12.0,12.0
Morocco,MAR,Sudan,SDN,4.0,4.0
Mozambique,MOZ,Sudan,SDN,,2.0
Namibia,NAM,South Sudan,SSD,1.0,1.0
Nauru,NRU,Sudan,SDN,,13.0
Netherlands,NLD,Sudan,SDN,,759.0
New Zealand,NZL,Sudan,SDN,,9.0
Niger,NER,Sudan,SDN,9.0,9.0
Nigeria,NGA,Sudan,SDN,47.0,47.0
Norway,NOR,South Sudan,SSD,,4.0
Norway,NOR,Sudan,SDN,,1965.0
Pakistan,PAK,Sudan,SDN,1.0,1.0
Panama,PAN,Sudan,SDN,,4.0
Papua New Guinea,PNG,Sudan,SDN,,18.0
Philippines,PHL,Sudan,SDN,3.0,5.0
