Sex;Provinces;Rates;Periodo;Total
Both sexes;National Total;Activity rate;2023QIV;58,99
Both sexes;National Total;Activity rate;2023QIII;59,41
Both sexes;National Total;Activity rate;2023QII;58,97
Both sexes;National Total;Activity rate;2023QI;58,55
Both sexes;National Total;Activity rate;2022QIV;58,52
Both sexes;National Total;Activity rate;2022QIII;58,86
Both sexes;National Total;Activity rate;2022QII;58,71
Both sexes;National Total;Activity rate;2022QI;58,5
Both sexes;National Total;Activity rate;2021QIV;58,65
Both sexes;National Total;Activity rate;2021QIII;59,14
Both sexes;National Total;Activity rate;2021QII;58,58
Both sexes;National Total;Activity rate;2021QI;57,69
Both sexes;National Total;Unemployment rate;2023QIV;11,76
Both sexes;National Total;Unemployment rate;2023QIII;11,84
Both sexes;National Total;Unemployment rate;2023QII;11,6
Both sexes;National Total;Unemployment rate;2023QI;13,26
Both sexes;National Total;Unemployment rate;2022QIV;12,87
Both sexes;National Total;Unemployment rate;2022QIII;12,67
Both sexes;National Total;Unemployment rate;2022QII;12,48
Both sexes;National Total;Unemployment rate;2022QI;13,65
Both sexes;National Total;Unemployment rate;2021QIV;13,33
Both sexes;National Total;Unemployment rate;2021QIII;14,57
Both sexes;National Total;Unemployment rate;2021QII;15,26
Both sexes;National Total;Unemployment rate;2021QI;15,98
Both sexes;National Total;Employment rate;2023QIV;52,05
Both sexes;National Total;Employment rate;2023QIII;52,38
Both sexes;National Total;Employment rate;2023QII;52,13
Both sexes;National Total;Employment rate;2023QI;50,78
Both sexes;National Total;Employment rate;2022QIV;50,99
Both sexes;National Total;Employment rate;2022QIII;51,4
Both sexes;National Total;Employment rate;2022QII;51,38
Both sexes;National Total;Employment rate;2022QI;50,51
Both sexes;National Total;Employment rate;2021QIV;50,83
Both sexes;National Total;Employment rate;2021QIII;50,52
Both sexes;National Total;Employment rate;2021QII;49,63
Both sexes;National Total;Employment rate;2021QI;48,47
Both sexes;02 Albacete;Activity rate;2023QIV;58,14
Both sexes;02 Albacete;Activity rate;2023QIII;58,94
Both sexes;02 Albacete;Activity rate;2023QII;59,61
Both sexes;02 Albacete;Activity rate;2023QI;59,31
Both sexes;02 Albacete;Activity rate;2022QIV;59,05
Both sexes;02 Albacete;Activity rate;2022QIII;57,47
Both sexes;02 Albacete;Activity rate;2022QII;58,07
Both sexes;02 Albacete;Activity rate;2022QI;58,16
Both sexes;02 Albacete;Activity rate;2021QIV;55,5
Both sexes;02 Albacete;Activity rate;2021QIII;59,12
Both sexes;02 Albacete;Activity rate;2021QII;58,13
Both sexes;02 Albacete;Activity rate;2021QI;58,17
Both sexes;02 Albacete;Unemployment rate;2023QIV;11,96
Both sexes;02 Albacete;Unemployment rate;2023QIII;9,24
